REGRESSION,,,,,,,,,,,,,,,,,,,,
Algorithms,MAPE,,,MAE,,,MSE,,,,,,,,,,,,,
,80-20,75-25,70-30,80-20,75-25,70-30,80-20,75-25,70-30,,,,,,,,,,,
65-35,RMSprop,64-64-1,500,0.01,0.4841,0.5351,9.70%,,,65-35,RMSprop,64-64-1,500,0.01,71,,,,,
65-35,RMSprop,128-64-32-1,1000,0.01,0.4845,0.5392,10.06%,,,65-35,RMSprop,128-64-32-1,1000,0.01,71,,,,,
65-35,Adagrad,64-32-1,50,0.01,0.5007,0.5326,9.75%,,,65-35,Adagrad,64-32-1,50,0.01,67,,,,,
65-35,Adagrad,64-32-1,100,0.01,0.5109,0.543,10.00%,,,65-35,Adagrad,64-32-1,100,0.01,70,,,,,
65-35,Adagrad,64-64-1,500,0.01,0.4891,0.522,9.71%,,,65-35,Adagrad,64-64-1,50,0.01,70,,,,,
65-35,Adagrad,128-64-32-1,1000,0.01,0.4685,0.5188,9.45%,,,65-35,Adagrad,128-64-32-1,50,0.01,75.62,,,,,
,,,,,,,,,,65-35,Adagrad,128-64-32-1,100,0.01,75.44,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Regression,80-20 Ratio,,,,,,,,,,,,,,,,,,,
Algorithms,MAPE,MAE,MSE,,,,,,,,,,,,,,,,,
Random Forest,7.77%,0.4306,33.62%,,,,,,,,,,,,,,,,,
SVM,9.09%,0.507,0.4255,,,,,,,,,,,,,,,,,
Naive Bayes,9.78%,0.5421,0.6854,,,,,,,,,,,,,,,,,
KNN,10.24%,0.5788,0.5184,,,,,,,,,,,,,,,,,
Linear Regression,9.25%,0.5156,0.5284,,,,,,,,,,,,,,,,,
Decision Tree,9.56%,0.5315,0.4389,,,,,,,,,,,,,,,,,
XG boost,7.60%,0.4172,0.3196,,,,,,,,,,,,,,,,,
Adaboost,9.30%,0.5235,0.4299,,,,,,,,,,,,,,,,,
Gradientboost,8.98%,0.477,0.3786,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Regression,75-25 Ratio,,,,,,,,,,,,,,,,,,,
Algorithms,MAPE,MAE,MSE,,,,,,,,,,,,,,,,,
Random Forest,7.94%,0.4341,0.345,,,,,,,,,,,,,,,,,
SVM,9.12%,0.5042,0.4269,,,,,,,,,,,,,,,,,
Naive Bayes,9.51%,0.5237,0.6484,,,,,,,,,,,,,,,,,
KNN,10.41%,0.582,0.5222,,,,,,,,,,,,,,,,,
Linear Regression,9.26%,0.5109,0.4262,,,,,,,,,,,,,,,,,
Decision Tree,9.57%,0.526,0.4575,,,,,,,,,,,,,,,,,
XG boost,7.79%,0.4269,0.3952,,,,,,,,,,,,,,,,,
Adaboost,9.43%,0.5224,0.4335,,,,,,,,,,,,,,,,,
Gradientboost,8.74%,0.4809,0.3893,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Regression,70-30 Ratio,,,,,,,,,,,,,,,,,,,
Algorithms,MAPE,MAE,MSE,,,,,,,,,,,,,,,,,
Random Forest,8.72%,0.4612,0.3958,,,,,,,,,,,,,,,,,
SVM,8.72%,0.4612,0.3959,,,,,,,,,,,,,,,,,
Naive Bayes,11.55%,0.6279,0.8358,,,,,,,,,,,,,,,,,
KNN,11.32%,0.6141,0.5807,,,,,,,,,,,,,,,,,
Linear Regression,9.99%,0.5355,0.4807,,,,,,,,,,,,,,,,,
Decision Tree,10.35%,0.5539,0.5127,,,,,,,,,,,,,,,,,
XG boost,8.56%,0.4512,0.4278,,,,,,,,,,,,,,,,,
Adaboost,10.51%,0.5635,0.4808,,,,,,,,,,,,,,,,,
Gradientboost,9.41%,0.5023,0.439,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Classification,,,,,,,,,,,,,,,,,,,,
Algorithms,Accuracy,,,,,,,,,,,,,,,,,,,
Logistic Regression,70,,,,,,,,,,,https://colab.research.google.com/drive/1zIVkjy8TKoKHWBUNdfvcKsZ0Q6Iwpavm?usp=sharing,,,,,,,,
SVC,72,,,,,,,,,,,,,,,,,,,
Decision Tree,66,,,,,,,,,,,,,,,,,,,
Naive Bayes,61,,,,,,,,,,,,,,,,,,,
KNN,66,,,,,,,,,,,,,,,,,,,
Random Forest,79,,,,,,,,,,,,,,,,,,,
XG boost,79,,,,,,,,,,,,,,,,,,,
Adaboost,74,,,,,,,,,,,,,,,,,,,
Gradientboost,75,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Classification,,,,,,,,,,,,,,,,,,,,
Algorithms,Accuracy,,,,,,,,,,,,,,,,,,,
Logistic Regression,71,,,,,,,,,,,,,,,,,,,
SVC,73,,,,,,,,,,,,,,,,,,,
Decision Tree,67,,,,,,,,,,,,,,,,,,,
Naive Bayes,61,,,,,,,,,,,,,,,,,,,
KNN,67,,,,,,,,,,,,,,,,,,,
Random Forest,80,,,,,,,,,,,,,,,,,,,
XG boost,78,,,,,,,,,,,,,,,,,,,
Adaboost,73,,,,,,,,,,,,,,,,,,,
Gradientboost,75,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Classification,,,,,,,,,,,,,,,,,,,,
Algorithms,Accuracy,,,,,,,,,,,,,,,,,,,
Logistic Regression,71,,,,,,,,,,,,,,,,,,,
SVC,72,,,,,,,,,,,,,,,,,,,
Decision Tree,65,,,,,,,,,,,,,,,,,,,
Naive Bayes,59,,,,,,,,,,,,,,,,,,,
KNN,65,,,,,,,,,,,,,,,,,,,
Random Forest,79,,,,,,,,,,,,,,,,,,,
XG boost,77,,,,,,,,,,,,,,,,,,,
Adaboost,73,,,,,,,,,,,,,,,,,,,
Gradientboost,75,,,,,,,,,,,,,,,,,,,
